region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,0.11574647757674876,6.334487398597163e-08,3.0284543754532933e-05,0.1392366427861355,7.620039742176356e-08,3.0768253054702654e-05
Frontal Pole,114814,0.1275010846526826,1.1105011989189697e-06,1.5798965250723995e-05,0.11885354774520847,1.035183407469546e-06,1.5161545888986439e-05
Insular Cortex,21088,0.0061663976755153005,2.924126363578955e-07,8.997335498861503e-06,0.010400234389347618,4.931825867482748e-07,8.63770219439175e-06
Superior Frontal Gyrus,44557,-0.0036565419976797194,-8.206436693852188e-08,1.6853167608132935e-06,0.007523495389251142,1.6885103102208725e-07,1.9867823084496194e-06
Middle Frontal Gyrus,42749,-0.05925782783333356,-1.3861804447667446e-06,2.0347279132693075e-06,-0.05545167592625834,-1.297145568931632e-06,2.3589293505210662e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.010073546839357572,9.82210105241573e-07,2.8988597478019074e-06,0.009669879620286377,9.428509770170024e-07,3.2027951419877354e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.010627158032339656,-8.8811282235832e-07,1.7890159824673901e-06,-0.012387174928686503,-1.0351976373630706e-06,2.060899987554876e-06
Precentral Gyrus,60968,-0.08956690210069379,-1.4690805357022338e-06,1.7509947838334483e-06,-0.08501709960862465,-1.3944544614982392e-06,2.2031683784007328e-06
Temporal Pole,38880,0.13597785448584432,3.4973728005618393e-06,1.5863657608861104e-05,0.14281569577743625,3.6732432041521668e-06,1.5228264601319097e-05
"Superior Temporal Gyrus, anterior division",5358,0.007508452965879431,1.4013536703769001e-06,5.371520273911301e-06,0.008060277840740288,1.5043445018178962e-06,5.7888364608515985e-06
"Superior Temporal Gyrus, posterior division",10682,-0.0018706497027401736,-1.7512167222806344e-07,5.354586392058991e-06,-0.0015834831117885863,-1.4823844895980026e-07,5.533307103178231e-06
"Middle Temporal Gyrus, anterior division",7302,0.020950677434541376,2.869169739049764e-06,6.5418962549301796e-06,0.021970254766586095,3.008799611967419e-06,7.122464012354612e-06
"Middle Temporal Gyrus, posterior division",20710,0.02552122519419453,1.232314108845704e-06,6.455181846831692e-06,0.027507876582769902,1.328241264257359e-06,6.912694971106248e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.010798390306681912,-7.17834893750044e-07,1.8376795196672902e-06,-0.010035469491259108,-6.671188919270829e-07,2.1279367956594797e-06
"Inferior Temporal Gyrus, anterior division",5840,0.023115258465395527,3.958092202978686e-06,8.029333002923522e-06,0.024497239438801444,4.1947327806166855e-06,8.850509402691387e-06
"Inferior Temporal Gyrus, posterior division",15177,0.049664655074650454,3.2723631201588228e-06,7.983804607647471e-06,0.05285257648984043,3.4824126302853283e-06,8.747520041652024e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.01810607052731586,1.3314266142595676e-06,5.67648703508894e-06,0.01991498383906376,1.4644447267493022e-06,5.653907464875374e-06
Postcentral Gyrus,54508,-0.0856931958631281,-1.5721214475513337e-06,1.4176949889588286e-06,-0.08376466286647832,-1.536740714509399e-06,1.403650571774051e-06
Superior Parietal Lobule,23524,-0.054175514573579255,-2.302989056860196e-06,2.8855782829850796e-07,-0.054192839704895544,-2.3037255443332575e-06,3.5082652516393864e-07
"Supramarginal Gyrus, anterior division",14746,-0.03986324214110937,-2.7033257928325897e-06,-4.168419991401606e-07,-0.04243682991204878,-2.8778536492641243e-06,-4.89448780172097e-07
"Supramarginal Gyrus, posterior division",19966,-0.05403765759022286,-2.706483902144789e-06,6.719546519207142e-08,-0.056181758970593965,-2.813871530130921e-06,7.015923841890981e-08
Angular Gyrus,19190,-0.08424005219740138,-4.389789067087096e-06,-3.429819059874717e-07,-0.08807663570007662,-4.589715252739793e-06,-2.391030307080655e-07
"Lateral Occipital Cortex, superior division",70658,-0.4530223106943936,-6.411479389374078e-06,-1.6638225019960373e-07,-0.4730531004617262,-6.694968729113847e-06,-3.29236883089834e-07
"Lateral Occipital Cortex, inferior division",35217,-0.05382431766786099,-1.5283618044654853e-06,4.7889366214803886e-06,-0.05575711472380562,-1.5832443059830656e-06,4.383250598039012e-06
Intracalcarine Cortex,9627,-0.01694191282332369,-1.7598330552948676e-06,1.362376877978022e-07,-0.016458413363753976,-1.7096097812147062e-06,4.546876652966603e-08
Frontal Medial Cortex,7282,0.01973344571428015,2.7098936712826355e-06,5.555119514610851e-06,0.018032501651873645,2.4763116797409565e-06,5.059153863840038e-06
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10922,0.00292274307596746,2.676014535769511e-07,1.6044416497607017e-06,0.0063406302786327695,5.805374728651135e-07,2.0867446437478065e-06
Subcallosal Cortex,10166,0.03582357505111888,3.5238614057760066e-06,9.950545063475147e-06,0.035728301695932885,3.514489641543664e-06,1.0410662071080878e-05
Paracingulate Gyrus,21888,-0.00833801096488157,-3.809398284393992e-07,3.727637249539839e-06,-0.010682366591002468,-4.880467192526712e-07,3.4172460345871514e-06
"Cingulate Gyrus, anterior division",17153,-0.01411036079702888,-8.226176643752626e-07,3.082378725594026e-06,-0.013643055378386506,-7.953743006113511e-07,2.6942404929286567e-06
"Cingulate Gyrus, posterior division",16388,-0.01751998759204067,-1.069074175740827e-06,3.5442787975625833e-06,-0.014843186649811352,-9.05735089688269e-07,3.7046231682325015e-06
Precuneous Cortex,41201,-0.08400245546303489,-2.038845063542994e-06,2.4057137579802657e-06,-0.08420378846019196,-2.043731668168053e-06,2.572280209278688e-06
Cuneal Cortex,8942,-0.030195116940376465,-3.3767744285815775e-06,-1.5989895700840862e-06,-0.028662695833759244,-3.205401010261602e-06,-1.4263732737163082e-06
Frontal Orbital Cortex,25854,0.08698519004650507,3.3644770653092393e-06,1.2154877367720474e-05,0.09004928868463935,3.482992522806504e-06,1.2141194929427002e-05
"Parahippocampal Gyrus, anterior division",12383,0.08347628011415509,6.741200041521044e-06,1.673662154644262e-05,0.0842043877503329,6.799999010767415e-06,1.5404433725052513e-05
"Parahippocampal Gyrus, posterior division",7254,0.03412575270332141,4.70440483916755e-06,1.2604902622115333e-05,0.03654976308043878,5.038566732897544e-06,1.2917282219859771e-05
Lingual Gyrus,32728,0.04047746044892665,1.236783807410372e-06,5.9286580835760105e-06,0.039543951723062035,1.208260563525484e-06,6.257123914110707e-06
"Temporal Fusiform Cortex, anterior division",5878,0.03146893140956308,5.35368006287225e-06,1.446639907953795e-05,0.03256949424076083,5.540914297509498e-06,1.4209615983418189e-05
"Temporal Fusiform Cortex, posterior division",14920,0.08029458886420571,5.381674856850248e-06,1.3240025509730913e-05,0.08475734332671436,5.680787086240909e-06,1.4473971532424912e-05
Temporal Occipital Fusiform Cortex,15155,0.043157588813084374,2.8477458801111433e-06,9.857061741058715e-06,0.044483197684537124,2.9352159475115226e-06,1.0009034667746164e-05
Occipital Fusiform Gyrus,22049,0.02992946524870215,1.3574069231576103e-06,4.8711858653405216e-06,0.02820711335275678,1.2792921834440012e-06,4.5568690438813064e-06
Frontal Operculum Cortex,5242,0.002354719323375498,4.4920246535205995e-07,2.133306452378747e-06,0.0025822747019699013,4.926124956066199e-07,2.3080988285073545e-06
Central Opercular Cortex,13757,-0.028603950362192793,-2.0792287825974263e-06,1.3033552477281773e-06,-0.029645404355562288,-2.1549323512075515e-06,1.85626254278759e-06
Parietal Operculum Cortex,8182,-0.028413619929779088,-3.472698598115264e-06,-4.4263560994295403e-07,-0.02883173281395557,-3.5238001483690503e-06,-5.264886908662447e-07
Planum Polare,5338,0.0067942323901025725,1.272804868883959e-06,4.753067969431868e-06,0.0087642152598243,1.6418537391952603e-06,5.402790520747658e-06
Heschl's Gyrus (includes H1 and H2),4240,-0.011401406817491022,-2.68901104186109e-06,6.909971261848113e-07,-0.01081382364775918,-2.55043010560358e-06,7.682220939386752e-07
Planum Temporale,7699,-0.018237009836575058,-2.3687504658494685e-06,4.260884622908634e-07,-0.018455382355979766,-2.397114216908659e-06,5.283355335450324e-07
Supracalcarine Cortex,2256,-0.0053169019555525665,-2.3567827817165633e-06,-9.109432994591771e-07,-0.00531369373356938,-2.355360697504158e-06,-9.185998237626336e-07
Occipital Pole,37231,-0.06676431894991258,-1.793245385563444e-06,2.8201604891364696e-06,-0.06904461405529741,-1.8544926017377296e-06,2.7726575808628695e-06
Left Cerebral White Matter,402278,0.37947747755820477,9.433214780778585e-07,2.793237945297733e-05,0.3663299219117062,9.106387172843312e-07,2.915659024438355e-05
Left Lateral Ventricle,5582,-0.020586880259446355,-3.688083170807301e-06,5.365522156353109e-06,-0.01861913018052995,-3.335566137680034e-06,5.9336325648473576e-06
Left Thalamus,11392,-0.010083534557746493,-8.85141727330275e-07,1.0268060577800497e-05,-0.007370524756055402,-6.469912882773352e-07,1.2750306268571876e-05
Left Caudate,3949,-0.00808492945869832,-2.0473358973659965e-06,3.4713507375272457e-06,-0.007362504329812219,-1.8643971460653885e-06,3.6498993267741753e-06
Left Putamen,6397,8.522959376368322e-05,1.3323369354960641e-08,5.35701747139683e-06,0.001319460822997276,2.0626243911165795e-07,5.6521748774684966e-06
Left Pallidum,2133,-0.00022119025792458058,-1.0369913639220843e-07,3.036710268133902e-06,-2.9361489214681236e-05,-1.3765348905148258e-08,3.3461765269748867e-06
Brain-Stem,54555,0.5085036039125557,9.320934908121265e-06,3.0284543754532933e-05,0.5002516527864262,9.169675607853108e-06,3.0768253054702654e-05
Left Hippocampus,6092,0.018712399069451102,3.0716347783077975e-06,1.1487499250506517e-05,0.02156465116873829,3.539831117652379e-06,1.3425463293970097e-05
Left Amygdala,2631,0.00877869533746889,3.3366382886616834e-06,9.116301043832209e-06,0.00887671389989464,3.3738935385384415e-06,9.991643310058862e-06
Left Accumbens,756,0.0015655456018777159,2.0708275157112643e-06,3.921620191249531e-06,0.001615758906694964,2.1372472310779948e-06,4.34095863965922e-06
Right Cerebral White Matter,252240,-0.3602837785633014,-1.4283372128262822e-06,1.3272976502776146e-05,-0.3496233958521384,-1.3860743571683256e-06,1.3563966604124289e-05
Right Lateral Ventricle,5125,-0.01741055057427362,-3.397180599858267e-06,4.121986876270967e-06,-0.015409148374313286,-3.0066630974269828e-06,4.316320428188192e-06
Right Thalamus,11117,-0.0058124624334904285,-5.228445114230844e-07,1.0613859558361582e-05,-0.0022751478862594876,-2.0465484269672463e-07,1.3270512681629043e-05
Right Caudate,4127,-0.008177699209912681,-1.9815118027411393e-06,3.155059630444157e-06,-0.00760364770814026,-1.8424152430676666e-06,3.6888829981762683e-06
Right Putamen,6397,0.001118689103581566,1.748771460968526e-07,4.668203928304138e-06,0.001984370380318873,3.1020327971218895e-07,5.4308470680553e-06
Right Pallidum,2118,0.0001591386085769697,7.513626467279023e-08,3.4876770769187715e-06,0.0005415902777428094,2.5570834643192136e-07,4.011476903542643e-06
Right Hippocampus,6125,0.023870043046487488,3.897149885140814e-06,1.3034970834269188e-05,0.024723756116549242,4.036531610865183e-06,1.3681419659405947e-05
Right Amygdala,3030,0.011261306798019177,3.716602903636692e-06,1.0195178219873924e-05,0.011564696119990003,3.816731392735975e-06,1.0553835636528675e-05
Right Accumbens,666,0.0012249908762242967,1.8393256399764215e-06,3.4992592645721743e-06,0.0014144083060045887,2.123736195202085e-06,4.128037289774511e-06
Background,5393789,0.6592269896752823,1.2221964738985568e-07,2.9105120120220818e-05,0.6656522088291918,1.2341087291868328e-07,2.8399506845744327e-05
