size,baseline-median,baseline-significant,multi-finetuned-median,multi-finetuned-significant,multi-frozen-median,multi-frozen-significant,multi-transferred-median,multi-transferred-significant
100,0.6470347240671208,1,0.20372557032278105,1,0.14440324801603155,1,0.1433366538719706,0
250,0.4238687347267312,1,0.1866492075684391,1,0.151441341383915,1,0.1473511600549785,0
500,0.3650816444787176,1,0.17368868409963684,1,0.1499379074137296,1,0.1504516345363985,1
1000,0.28882013753263114,1,0.1639263892569594,1,0.13932622941496853,0,0.14128319604571338,1
2500,0.22852158833378255,1,0.1485698227317252,1,0.13946083021873895,0,0.1398233631513934,1
