x,M-cases,M-controls,F-cases,F-controls
43.0,3.190950586694487e-14,7.936768561200679e-13,5.730604201444844e-10,4.900203394598741e-15
44.0,3.000466185820202e-13,5.952684400103486e-12,3.3592828856006944e-09,6.013801243075152e-14
45.0,2.5848689884952973e-12,4.117186799273188e-11,1.8094577905714207e-08,6.647890759479802e-13
46.0,2.0402797725653244e-11,2.6262008320523426e-10,8.956764989288988e-08,6.61984448567258e-12
47.0,1.4755847333630206e-10,1.5449737066229682e-09,4.07481733266157e-07,5.93850479905045e-11
48.0,9.778800923946963e-10,8.383251655873091e-09,1.7040556770646246e-06,4.799733025821824e-10
49.0,5.938547494041881e-09,4.1960677293189444e-08,6.551750737702391e-06,3.495620873137203e-09
50.0,3.305043622598741e-08,1.9375869004165422e-07,2.3164789074074226e-05,2.2944050228343482e-08
51.0,1.685813469332253e-07,8.255264790392803e-07,7.533967123968603e-05,1.3575144348931286e-07
52.0,7.881617066194466e-07,3.245859388964252e-06,0.00022548009424675712,7.242057212378949e-07
53.0,3.3778438095928816e-06,1.1780243894279702e-05,0.0006212956643554229,3.4847278480523742e-06
54.0,1.3271999467897719e-05,3.9475346118111694e-05,0.0015771809928989253,1.5130490868982313e-05
55.0,4.781590535892454e-05,0.00012217894114465995,0.0036918335197585694,5.9313918436459195e-05
56.0,0.00015799070281965718,0.000349426335624791,0.00797802201764061,0.00021008410411356649
57.0,0.00047887414667072473,0.000923937497978465,0.015941552963380456,0.0006729296827942336
58.0,0.001331932808171103,0.0022602574405368105,0.029516544199711243,0.0019517075302448038
59.0,0.0034009480979639234,0.005120131330473071,0.05078125901215393,0.005133504922556385
60.0,0.007976694015591439,0.010752082489280909,0.08146854722392724,0.012270208595248182
61.0,0.017198336082544684,0.020960533000127807,0.12241833897835293,0.026721314839585234
62.0,0.034122879733278925,0.0380002953422251,0.1732031938856255,0.05319220012101342
63.0,0.062390787684323004,0.06421517609070984,0.2320976225022607,0.09717421445626773
64.0,0.1053307228553619,0.10144247195544116,0.2963695853736936,0.16367959112487096
65.0,0.16462512834644394,0.15036394885228913,0.3627007311106325,0.2555212071622347
66.0,0.23905088666366728,0.21010609643367142,0.42756166815603985,0.37167287270412763
67.0,0.32404012883186534,0.2783618732692757,0.48757392363998436,0.5062377670503778
68.0,0.4125861219948675,0.35207657827049244,0.5400493765045166,0.6483416975941988
69.0,0.4973389317654361,0.4284072842643597,0.5837660394422565,0.7831831638046902
70.0,0.572991957070783,0.5054368413506355,0.6196521414155702,0.8945607811324324
71.0,0.6377953963670131,0.5821884019124651,0.6507692580494971,0.9689360456754861
72.0,0.6934665110890906,0.6578659873328433,0.6811820142430111,1.0
73.0,0.743597008063464,0.7307453448534514,0.7139712413514573,0.9913830025828418
74.0,0.7913512391479416,0.7974423753976502,0.7493372182924165,0.9551577045365747
75.0,0.8374908797171828,0.8531569084963009,0.7838972148325165,0.9060562355021335
76.0,0.8795774465618419,0.8929494619894096,0.8117122723036523,0.8545460699907521
77.0,0.9127255576174914,0.9134685231623925,0.8266151108785224,0.8032469493952755
78.0,0.9315935613932328,0.9142215209989047,0.8246678681160501,0.7489954754240505
79.0,0.9326014700372786,0.8976979968542873,0.8055099174893458,0.6886722874693013
80.0,0.9151021457343507,0.8682671968096067,0.7719760718463262,0.6241385069521928
81.0,0.8807947321283334,0.8303920506935213,0.7282931164466602,0.5625152296339258
82.0,0.831872308851994,0.7869863017863085,0.6778910345082029,0.5117237727550153
83.0,0.7693771892738638,0.7386121681782778,0.6220295699467392,0.4747339856855392
84.0,0.6931259008597996,0.6838159521848235,0.5599626252396032,0.44680362166705306
85.0,0.6033386682468604,0.6204254524644585,0.49048209649585367,0.4177461488987521
86.0,0.502726882122344,0.5472423576099581,0.4138785682505139,0.37770911945743074
87.0,0.39738571734028355,0.46538528402068996,0.3331165030410688,0.32264724573968484
88.0,0.29570380439080224,0.3786735645424829,0.2535169181303677,0.2561686909227087
89.0,0.20588640570261724,0.29287043009803626,0.18115281694198065,0.18712152824772327
90.0,0.13351872084239064,0.21413297166448678,0.12088222431840971,0.12500063900884398
91.0,0.08037948223525293,0.14736098741180598,0.07502586749864719,0.07609897310000056
92.0,0.04480960385328637,0.09511343302641499,0.04318260216630209,0.042133654225834524
93.0,0.023090207937596006,0.05741525245364808,0.022999545570943636,0.02118866126747908
94.0,0.010982735327427835,0.0323395043750616,0.011317637207792264,0.009669796389222215
95.0,0.004816605383765713,0.016964119496075007,0.005139377625503192,0.004001976708590707
96.0,0.001945934679194895,0.008274287505968838,0.002151806645386397,0.0015011457024509205
97.0,0.000723672362922661,0.0037475815994395733,0.0008301276069508297,0.0005100720021001174
98.0,0.0002475695099853271,0.0015743560118798535,0.0002949253064943459,0.0001569212655790702
99.0,7.786524684627454e-05,0.0006128744576893735,9.645600452788525e-05,4.368818698406211e-05
100.0,2.250402167889499e-05,0.00022090509972236115,2.9030611878255167e-05,1.1002140678161829e-05
101.0,5.973788867330022e-06,7.367305164530649e-05,8.038567286858039e-06,2.50513033209172e-06
